[Fri 00:14:53] watchdog up: root 21014 (o3_r8_p0_d8), kill if free disk < 5 GB, every 60s
[00:14:54] tree 0.00 GB (peak 0.00)  free disk 38 GB  swap used 1024.00M | 21014:1264K/0B
[01:29:27] tree 21.57 GB (peak 21.57)  free disk 28 GB  swap used 4096.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:19G/15G
[01:30:28] tree 21.57 GB (peak 21.57)  free disk 27 GB  swap used 5120.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:19G/15G
[01:31:28] tree 21.57 GB (peak 21.57)  free disk 27 GB  swap used 5120.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:19G/14G
[01:32:29] tree 22.57 GB (peak 22.57)  free disk 27 GB  swap used 5120.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:20G/16G
[01:33:29] tree 22.57 GB (peak 22.57)  free disk 27 GB  swap used 5120.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:20G/15G
[01:34:30] tree 22.57 GB (peak 22.57)  free disk 27 GB  swap used 5120.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:20G/16G
[01:35:30] tree 22.57 GB (peak 22.57)  free disk 27 GB  swap used 5120.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:20G/16G
[01:36:30] tree 22.57 GB (peak 22.57)  free disk 26 GB  swap used 6144.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:20G/16G
[01:37:31] tree 23.57 GB (peak 23.57)  free disk 26 GB  swap used 6144.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:21G/17G
[01:38:31] tree 23.57 GB (peak 23.57)  free disk 26 GB  swap used 6144.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:21G/17G
[01:39:32] tree 23.57 GB (peak 23.57)  free disk 26 GB  swap used 6144.00M | 21014:1280K/1024K 21082:880K/704K 21084:2629M/2627M 23580:21G/17G
[01:40:32] tree 24.57 GB (peak 24.57)  free disk 26 GB  swap used 6144.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:22G/18G
[01:41:33] tree 24.57 GB (peak 24.57)  free disk 25 GB  swap used 7168.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:22G/17G
[01:42:33] tree 24.57 GB (peak 24.57)  free disk 25 GB  swap used 7168.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:22G/17G
[01:43:34] tree 24.57 GB (peak 24.57)  free disk 25 GB  swap used 7168.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:22G/18G
[01:44:34] tree 24.57 GB (peak 24.57)  free disk 25 GB  swap used 7168.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:22G/17G
[01:45:35] tree 24.57 GB (peak 24.57)  free disk 25 GB  swap used 7168.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:22G/18G
[01:46:35] tree 24.57 GB (peak 24.57)  free disk 25 GB  swap used 7168.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:22G/19G
[01:47:36] tree 25.57 GB (peak 25.57)  free disk 25 GB  swap used 7168.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[01:48:36] tree 25.57 GB (peak 25.57)  free disk 25 GB  swap used 7168.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[01:49:37] tree 25.57 GB (peak 25.57)  free disk 25 GB  swap used 7168.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[01:50:37] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[01:51:38] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[01:52:38] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[01:53:39] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[01:54:39] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[01:55:40] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/18G
[01:56:40] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
[01:57:41] tree 25.57 GB (peak 25.57)  free disk 24 GB  swap used 8192.00M | 21014:1280K/1024K 21082:880K/688K 21084:2629M/2627M 23580:23G/19G
